Source Url,Lat,Long,Url,User,Id,Instant Book,Prix,Adresse,Logement,Lit,Propriete,Capacite Daccueil,Chambres,Etoiles,Name,Review,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=3,45.5592519384279,-73.65815281332434,/rooms/8634937?s=SHbWSkCe,45403498,8634937,VRAI,55,"Ahuntsic-Cartierville, Laval",Logement entier,,Appartement,4,2,5.0,"Charmant 4 1/2, parking,metro, wifi",3 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.53678518277916,-73.67941464904618,/rooms/6399518?s=vs-JNGtt,33358769,6399518,FAUX,29,"Ahuntsic-Cartierville, Montréal",Chambre privée,,Appartement,5,1,5.0,"Clean,modern,typically Montreal",16 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.547971967046664,-73.68038060591537,/rooms/1717705?s=vs-JNGtt,6049121,1717705,FAUX,40,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,0,5.0,Le Bachelor: Pied-à-terre Montréal,41 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.56797853711829,-73.64543245842593,/rooms/2606913?s=vs-JNGtt,12588244,2606913,FAUX,35,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Appartement,2,1,5.0,Calm and cozy room in Montreal,18 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.56707350713991,-73.65229131997836,/rooms/4813554?s=vs-JNGtt,24791257,4813554,FAUX,56,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,2,1,5/4/2015,Renovated 1 bedroom appartment,8 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.54021466020864,-73.64386434990999,/rooms/7780323?s=vs-JNGtt,40934895,7780323,VRAI,17,"Ahuntsic-Cartierville, Montréal",Chambre privée,,Appartement,4,1,5/4/2015,Grande chambre double privée,12 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.55777935532999,-73.66676142642835,/rooms/5152631?s=vs-JNGtt,3011738,5152631,FAUX,49,"Ahuntsic-Cartierville, Montréal",Chambre privée,Vrai lit,Maison,2,1,5/4/2015,Studio-chambre chaleureux - Métro,18 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.55804448325438,-73.6646520352696,/rooms/7349045?s=vs-JNGtt,3405068,7349045,VRAI,71,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Maison,2,1,5.0,La campagne en ville,8 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.541402243406466,-73.70299197812766,/rooms/5434295?s=vs-JNGtt,28190921,5434295,FAUX,43,"Ahuntsic-Cartierville, Montréal",Logement entier,Vrai lit,Appartement,2,0,5.0,Beau studio et quartier charmant,12 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.551677159617626,-73.65154980207583,/rooms/4747554?s=vs-JNGtt,6015004,4747554,FAUX,100,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,6,2,5/4/2015,Condo moderne près du métro,35 commentaires,,
https://fr.airbnb.ca/s/Montr%C3%A9al--Canada?neighborhoods%5B%5D=Ahuntsic-Cartierville&page=1,45.557704566340504,-73.66468474171003,/rooms/497335?s=vs-JNGtt,1750622,497335,FAUX,65,"Ahuntsic-Cartierville, Montréal",Logement entier,,Appartement,4,2,5.0,Montreal Fabulous Apt. II,38 commentaires,,
